"id","article_id","lieu_id"
"03b96f25-1c06-4dd4-83a0-7f82f3316af7","1704-10_396","afd4cfc7-412d-4201-b0a0-d8fec055aa75"
"03c188a8-02f4-4f36-b8b1-f6827dfde145","1704-08_307","bc03c45c-c874-4a68-899d-e6609ead14f5"
"03c3f0cb-d5fd-42a7-a495-b3302bf6b8f1","1685-06_266","fbf83685-5657-4625-8ca4-c238b3fe9e9a"
"03d72f3d-60b4-4122-8b46-3211e718d513","1707-05_320","18a1957e-effe-488d-bdba-1acfdc5516d2"
"03d76a48-eb4e-4712-8e2d-efa4578a4301","1679-05_290","3f662a23-ecc3-4986-a727-a25971ba7fbe"
"03e0436f-678e-4b55-a2ba-d18924f5f026","1687-02_001","798673d9-9c06-44c9-89c1-d1a5833b56c0"
"03ef3598-52b8-4bd1-aefa-61792c6579b0","1678-07_189","f4c50d95-eb0d-47f6-b8e8-5b3b90331369"
"0408788c-d122-470f-9b39-bdf94bf9548c","1679-05_144","652fefab-0cef-48a1-b592-072bffa5ff5a"
"041fa055-a24a-4920-b8e6-cadab8049359","1697-06_199","19a0ea6b-b80b-40fa-b879-c93567aa3c02"
"042eeae7-2486-4d57-ba6c-34b85facd828","1683-01_111","18a1957e-effe-488d-bdba-1acfdc5516d2"
"04573c36-042b-4057-bec4-0cb1cf3b702a","1687-03b_426","2302d267-de82-497c-83bb-30e166461764"
"045ec5a4-de12-42a8-b1ed-84968d0170c9","1684-02_071","dc098217-6fba-47dc-a23e-86d6d05046d1"
"046532ea-85f5-4dcb-adca-252e4e0df29f","1682-10b_238","69f71137-69e4-4489-9875-2e88815e292c"
"046ab092-e276-4d5b-9f37-b642375ebf7b","1696-10_148","c5f6ae2a-5bea-4d4b-b2fa-c552efa30a72"
"04a0e8a7-bc51-4d53-a38a-007b09dcf83e","1701-12_225","44ec83fd-9bec-4c23-ac82-07aed9f7c347"
"04a5cb76-c135-4537-86ef-9bca510ece73","1698-03_237","3328b714-3d3d-4eb9-8312-59f946300c09"
"04af7577-f0c0-41ec-b0db-1e9269349bdd","1687-03b_129","75385a15-f63a-48b4-b9f8-510bc3c84bce"
"04b00391-8c71-48a8-9d07-d17f3800dc5a","1687-03b_116","a54012f5-a9c1-4ad1-981d-ca3527a84440"
"04b200f8-3ebb-4938-b7d2-c77a6461bf37","1686-10a_011","bef956fe-cca5-4a3c-8ef9-d0d9e7851deb"
"05084dcb-f00b-4143-8351-9d6b8f1d59cb","1701-03_211","d1886719-7c6b-48a0-aebd-b105429dea33"
"05159566-8a23-4efa-be67-00c249e06e8a","1698-06_094","43a83b53-03db-4a52-87e6-704a54e680ff"
"05172ed8-0a73-4498-9a36-b9c1f180f931","1687-01a_248","133a07c7-95ec-4f32-af0b-87ca2355c081"
"05324910-4478-4981-8119-9f09e36a1716","1690-11_252","7ef0b449-491c-40c6-b904-d673a59746a4"
"05339f3a-bf88-45a9-b256-c1489ce1713b","1704-07b_246","aa24678f-94f4-428c-830a-91d276785913"
"0534b086-8221-4cba-8f7f-f6a6373b2836","1708-02_294","b4f5ce0b-2023-4449-be05-5e9d8b62cf21"
"053a9395-013c-49fa-98f3-49a958eb3cea","1685-09e_119","18a1957e-effe-488d-bdba-1acfdc5516d2"
"0543f341-5b31-42aa-8352-1bfd2df51083","1701-08_142","94d8b652-11ca-47c5-930c-c4b7b4d1514c"
"054bcbaf-155a-4cb9-8bd4-290b71aad9c5","1684-08_113","feb0012f-4cc1-458c-9ba0-642272f12b92"
"056b6c0d-f3cd-496f-918c-06f16e170e88","1678-07_213","2976a01e-1fe8-4fa8-a08f-62bb44c6dc49"
"057ee13a-49de-45e7-99af-6b208210cfaa","1704-07b_97","86cef8bd-32ca-4d90-80ee-0218858a505d"
"05811a69-77cc-49d0-8d6b-ec8182d86e67","1687-03b_397","2f1ca1d2-4784-43d0-8753-ce76d2d37126"
"05818f08-305d-4690-84c3-4e171052eac5","1689-02a_173","02ac355e-57dc-4a17-a87f-9da1ee602300"
"058fec10-13ba-49c4-87b1-eed699b0977b","1690-10_059","112af976-6882-424e-967d-0c32740931b8"
"059260b0-2781-4c8d-aca7-ed0b2d297782","1704-09_183","c7e7cdb5-c4e6-42cc-a145-ec417d36bfc9"
"05b52f62-79c7-4734-b917-40268cc2c16b","1707-02_244","4fe213ba-a6d7-4a51-a98a-c0128b737cfe"
"05bf9a7b-cc20-423b-966d-09ab46c71a21","1686-09b_295","2981e6b7-6551-4aea-9921-7ac61cf3bce2"
"05c01b8c-6836-42f6-8c5f-3121f2b70fe4","1688-05a_007","ef84ebc5-3339-4a47-b72f-709f9145ac85"
"05c13a4b-63b7-4795-a6e0-501f4ddef132","1692-11_228","27201d4b-1f50-4c73-8852-17c1ad1f59f2"
"05d65bb7-96c2-45b1-84fe-c1548c5cb276","1686-10a_251","cc27c213-4e8b-494f-8455-bc4bda658310"
"05de76ff-1da6-4209-94d1-34339278052f","1708-09_5","9849dffe-3d01-402b-84c7-a82f4b64f9f7"
"061b3ef7-46de-4697-96a6-0fb883bcefa7","1680-03b_088","42303f95-8fe8-465b-87e5-bf2e8f0d8c38"
"063393d2-aa82-4bf0-a421-bfa7ad22a321","1685-06_098","8143776f-5fdd-4813-bf50-c5c5587db0c8"
"066ba26f-e7b3-442c-9a37-82e8e0378c83","1682-12_306","1b50793a-fd7a-46b7-94f5-fa58cca4fc22"
"066d9003-38c7-4e7e-921c-e8ab0d0488dd","1704-08_304","09d8bc30-ac41-4ad5-95c5-3aa6432985b3"
"066ef520-c63b-4a61-ad1b-64b8760d9654","1701-10_005","4909b9cc-93bf-4ff0-a9cf-2ba5e53c4fdc"
"067455a5-16ba-46d1-acf3-08339404c650","1704-08_18","9c5e2690-082a-4e25-833c-0435fe8c8bd4"
"06a1244b-e6f1-4587-b45f-6e2eb76e504f","1680-09a_238","27a4c273-e3db-4c9f-bc3a-10b1616ce114"
"06ac6f43-0b72-49c5-8b7d-b3dcc218cf57","1704-09_117","c46951b5-453e-4c1d-926e-2fb922d23041"
"06c700ca-770f-4a90-958e-23d4a28901e3","1678-09e_309","52e0ae02-c4b1-4f91-b82d-b54b59b723bc"
"06d4a2ba-a5bc-4ab1-b920-2830fa2afef8","1678-02_215","8245ca28-9da1-434d-b3a3-0175d9beb71d"
"06dbd0e8-7c74-4710-b09d-68f29b8e1c3b","1703-08_337","75bf0bc5-a8d9-4143-bbb3-a9344adbcced"
"06e77403-9b53-4f05-828c-c16db8b24304","1683-03_297","91b33d60-eb25-4a67-811a-1cce1008a451"
"06e9dbe0-7878-45da-adb9-3f7e1c3a3f5f","1689-02a_173","56f0be2a-8374-4930-953c-ebe24d030c82"
"070a9100-dffa-4c5e-9bcc-6a41dca540a1","1705-04_102","4c07faec-5e8e-4dcc-bbe8-8529f2006c23"
"071897b8-4c82-4e9d-9f77-b91ad6877d19","1689-02a_173","55808bfa-9434-433b-b315-b66ce32f1957"
"0718f483-0f49-4a8d-8c41-d49f86590c23","1701-12_225","f38b4f94-863d-4212-a3e2-ef72d87ab4bf"
"074d3f89-1c4a-4d34-a7a5-c57a2ff1958d","1701-12_225","7ee7ec48-3133-4570-bb16-8c2ca1814262"
"075b6b74-f19b-4d7f-8091-a6e49ed934cd","1699-03_068","3cde4aa9-abb7-4140-8623-0fbbbd811e39"
"07627e1b-e107-4715-8d82-f8a8d8d63247","1698-01_021","47e51a29-5b1a-4e6a-b0d7-6b80f6933726"
"077aacab-a30f-41c1-a8b6-c31b15a9dfdf","1688-05a_204","8d4b0f40-abb5-4fb5-bf00-a773cfc774f4"
"0788a556-ddf6-4f2c-bb03-fb3a31343d40","1691-04_148","0737bfd4-b035-45d7-9ff6-9c893b8dd351"
"078f4fd5-8446-4c51-9870-ac32afad5cd6","1686-05_217","0e0823c8-bdd6-4dc8-8fb1-4a6f20215ca9"
"07bb5953-8ded-469c-b903-6d2a03f7ca56","1701-03_211","d2bca350-d0a3-4ff2-99b5-eb5f1e42c9c7"
"07bf869b-2198-4460-951c-56b00f3f3f42","1687-05_196","42449223-6cbb-4d2d-b465-af6e3bdb9588"
"07e0f46d-2045-48d0-be01-94d785239f0c","1684-01_201","cc27c213-4e8b-494f-8455-bc4bda658310"
"07e847b1-0db2-4e50-b3fe-ba5cad11dac3","1687-10_142","4c563b06-4968-477f-88d5-05a5f8c3d5d1"
"07f16f88-84e0-4f8c-a242-bcf8e4e02220","1688-04a_056","4ea1c22e-06e9-46e4-977e-09006a4eee10"
"08038332-bd56-4dad-bbfc-157a3746e0fb","1686-09a_276","cc65015b-145d-4076-8940-822fc9c7fbbb"
"0819650c-3d71-4d1d-a26c-0f0780097f81","1705-08_324","4d141d4f-f781-489b-9c41-f92283535cb6"
"08218d04-bcef-4559-b4ea-0594e2610520","1701-04b_003","405d3a08-2c89-4aff-a4ce-b9e33f610392"
"082f51da-5dee-44fa-a0df-fa73843c4b04","1704-08_277","20b21542-367b-4968-b8bf-ce37f1418121"
"08495cd7-f47a-45d6-90c7-958507188073","1682-09b_068","c1ae2255-627b-48df-b9c5-2d862419525a"
"0873c55d-b862-42dd-9060-797bae735841","1688-05b_119","34a2842d-aad6-4687-88e9-5def926b7675"
"08754094-83c4-403b-9396-76d5ee7ceada","1680-03b_088","c5355e42-c817-4499-ba5b-9100878c996c"
"08774952-bb66-468f-bbbe-8d28a7773d09","1706-06_192","1427145e-c923-4cf0-9ed2-5cb6bfccd107"
"087a53d3-2f97-4bce-b195-543b264d4427","1686-03_146","f852c70e-a8eb-40a8-a0d7-8ecdf14ade8e"
"08840fcd-adf3-4ea0-bf31-0632de961cc2","1680-01a_245","bd6cc41c-16b0-49af-a4d1-7ca9b18b422e"
"0886af1a-b456-459c-8574-4081c8788cfd","1680-02_218","f9d7240a-ca75-485d-9dd1-7bf9d27b5db9"
"0888465d-8c2d-4ce0-8f50-7ea1d38903ad","1694-06_315","1b50793a-fd7a-46b7-94f5-fa58cca4fc22"
"08887b0b-f911-4061-9949-ef607d196032","1679-03_045","ca4b4ed9-c03d-4757-b55f-d4b59b414a58"
"088e2508-d8cc-4652-b240-5fe3ea5014d8","1682-08_112","490d0286-3a42-4400-8ddb-26fe0dc25847"
"089c8bfd-4068-4a82-8406-ff3b45455284","1681-05_199","18a1957e-effe-488d-bdba-1acfdc5516d2"
"08ab995c-aea9-4a37-bf17-c223d0b99ece","1679-01_013","7cb5b279-e8e2-4414-825a-38f4024ec91b"
"08de406c-7e8b-4e85-80f6-68158864e0a8","1682-10a_209","e6126b80-b62d-4aa6-993e-7d162d1ae61e"
