"id","status","sort","user_created","date_created","user_updated","date_updated","article_id","mot_clef_id"
"013f5fb2-69ea-45d4-b038-7b353ca377e6","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:42:58.663Z",,,"1704-09_71","4e0b677b-d5d4-43f6-ba47-4f61db7bd79a"
"0148b28c-2002-408f-b59c-9261bda777bd","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:15.217Z",,,"1702-03_153","0cc9fcd6-ca68-4684-94c8-2dad5f1ef2f5"
"0168a662-8d88-4128-827d-d26e65ab026c","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:09.775Z",,,"1707-10a_220","5932ef1d-7644-489e-8d7a-1b1113410e75"
"016ae478-82af-4616-8755-9fd718f91734","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:04.812Z",,,"1709-04_351","fa0490a9-d14f-46ca-89df-2ca14e49a93c"
"0174c105-e682-4417-b534-fc5501f0a876","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:44.064Z",,,"1709-04_351","4e0b677b-d5d4-43f6-ba47-4f61db7bd79a"
"01852dd6-df52-4809-8fae-47544b7b9cc1","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:04.628Z",,,"1709-04_351","5a1e8efa-eccb-419c-bbe8-308c429be1f5"
"01859036-5adc-458f-9753-230e42222d7d","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:29.208Z",,,"1707-10a_391","f8da9b4d-f630-41b1-82b2-60d472b8f4f4"
"019db251-b083-407e-9692-342b071440df","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:42:53.293Z",,,"1704-09_31","ba9bf4a4-8037-4326-a496-668b014c634e"
"01a22f8c-5676-445c-8b3f-cdd38fec5dfd","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:16.445Z",,,"1708-08_236","b8fc948e-8200-4a5e-9cf0-ac974bc8256a"
"01b00be6-ca32-451f-bf8b-3125a1e47a01","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:27.839Z",,,"1707-10a_391","9e2ffcd7-19dc-4982-aa3d-856863c57d24"
"01b3023d-592d-4440-9b09-e91b3e8db79d","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:00.428Z",,,"1704-09_71","4e0b677b-d5d4-43f6-ba47-4f61db7bd79a"
"01db18fd-a79d-4a30-b58d-427b9a82afe2","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:21.991Z",,,"1704-08_277","4e0b677b-d5d4-43f6-ba47-4f61db7bd79a"
"01ddee4f-6f78-45a9-a342-130de7414a1e","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:11.274Z",,,"1707-10a_99","9a421d33-2fb3-4335-b882-b9858e83f86c"
"01f3dc5d-6b57-4fca-b96b-13c1b9615f32","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:42.871Z",,,"1706-01_194","b31a67ed-31ef-470f-bf52-109377b9eff4"
