"id","article_id","personne_id"
"cf5183dc-990e-4d92-a723-93115bcbcabb","1677-04_081","f8cb999d-7b66-443e-9be3-11ba05e26d9f"
"43cfb956-9572-4773-81cd-abefef05b2fd","1677-05_181","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"0d38bc1b-d451-4b0e-91c6-0ad1feccae51","1677-06_132","170204ba-146e-438d-b1ed-4c6137b2d322"
"6afea1d7-925d-45fc-ba4f-6355ff2cc820","1677-06_132","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"8228d0dc-9169-488d-aea3-b52ea5aceaf0","1677-06_132","72438b9e-a714-4bfb-8192-b59882e39dd7"
"9e9f56ad-60c6-43a1-a48e-ba3433d7c716","1677-06_132","18d2cbdf-9c30-47a1-a081-4e92f54a61ab"
"ae1f242f-d8cd-4819-bc9a-58e1ed51a7c5","1677-06_132","4db0474c-b74b-4fef-8cf9-d3c7a23b2659"
"c4916ca4-89c9-4ebc-8641-c4c6f624885c","1677-06_132","63caeaee-d7aa-4807-8b33-4531e900d2ae"
"5127166d-5a6d-402e-822d-aaa4de14c7a3","1677-07_142","7c535b47-1fd4-448d-ba07-b497ce2bdf24"
"bc83b220-7c85-45d8-b75d-d1685bb1dd6e","1677-07_142","f317e8dc-0e54-413a-b5d4-cdc222a6c83e"
"220e8087-d7c2-4a8c-89de-92ab4dc96724","1677-07_145","dbea4436-bdeb-49ea-a8a1-b3c26b3e20a2"
"96fe4176-dd96-4769-a6f6-1f7f95488b13","1677-07_209","e2702198-1fcc-43e8-9cd7-1362c2c10249"
"e39aa908-f2be-458c-9461-d10349c71cde","1677-07_209","19dd9fb1-f35b-4b35-aca8-28fbeccd83c6"
"28e83d71-bb91-4143-a6fe-ab21e1157c36","1677-07_243","017d9433-0f75-47f0-83ea-d634db2a88a9"
"3ef6f65d-09e0-47eb-bcaa-4e7069288e4f","1677-07_281","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"fd77ba1d-cafb-4405-9001-4c9c1f1d4368","1677-07_281","dd8cc719-62b8-457e-89dc-358587579d57"
"599ddbfa-82cb-41ef-ba39-d28adfd2c130","1677-07_292","29187840-e60a-4a83-8b7e-a487f651eadf"
"56a612c3-65d1-48e0-ac61-39f112c0e2e5","1677-08_009","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"0c4dfa15-27a0-41a4-b172-7993b7c9175d","1677-08_072","1caad16b-6943-462a-8b36-bd57dc412ae9"
"2ab6297f-3cf1-41d4-8d7c-e40e51d4e94d","1677-08_072","b2f84b06-e55d-45aa-a285-340d27c704b6"
"440954b4-497e-474a-80d3-75974e02e03e","1677-08_072","ce5a120f-4201-4225-b540-6686b55478e9"
"7346618f-5365-4b76-a560-95a687f2a233","1677-08_072","2480bce1-99f2-495e-942e-d1f329322a81"
"cfa44d5a-39db-44d6-96b5-8d517492add6","1677-08_072","fa03e9b8-bba7-453b-b80e-b11abb320452"
"daabac49-dc28-47d2-898e-94a2f079a81a","1677-08_072","8cf58efa-e0fe-41b2-a3c0-6e220eb53316"
"e9bf884d-359f-4da3-9cf0-d464520146ff","1677-08_072","8098bb51-16e7-400f-8b9d-9f58524c9304"
"95569510-8ddc-419f-bf6a-27175e4bdd7f","1677-08_074","1f8a05e5-c9f2-45e3-9965-7639d27851b5"
"213161be-12c8-47c4-af5e-55c5fcad74fe","1677-08_127","34f03a44-a46c-4947-a209-3c7c069eacae"
"c0146fb9-a1ce-46ef-be85-6506c40c7646","1677-08_127","4732d81a-dafa-416c-b106-9b575e9721d1"
"35a67f59-cffc-421b-aa1e-b8e89509edc1","1677-09_150","f1670f3a-6987-4d29-a735-ebf623a1d6c6"
"4129bffe-1682-4110-97b6-e8e857b7e8ac","1677-09_150","5840c3cc-2b2d-4d0b-98fb-03a6398cb671"
"653fa500-b163-4c34-8bdd-062c74115c3b","1677-09_150","08b01ac6-32ea-469e-8538-dbd7cb6a1e08"
"03023380-e490-435a-ba9d-07a098a0bc9f","1677-09_213","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"0f1a041f-7104-4a63-9c23-5631b7c055b7","1677-09_213","7a287e3a-e379-45bd-8293-b6f76dc938c8"
"51dd3c25-1300-420f-88e3-324914bacf15","1677-09_293","d57d24f3-b0f6-42e0-bbe2-a15e05200480"
"9c449671-2b9d-4094-bfec-5bd11b2c69ca","1677-09_293","6e945172-55cc-4cab-b107-4bb06d859a9b"
"c161f71e-4622-477b-a0f5-906f731d9533","1677-09_293","80c211f2-9ee6-4027-bcb0-52c0a1f82ea9"
"d139f581-f85a-4290-9482-003caf48ea2b","1677-09_293","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"74afb6de-5ba9-429f-89a6-1fbf4e274bb5","1677-10_200","a5c2fc40-fac5-446e-8b24-e8d8f6bd8fe7"
"a15521e6-47f5-4412-8369-85e18763190c","1677-10_200","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"ad456cc4-007d-41ee-afc1-e95e07f0851c","1677-10_200","a3c6f1c2-c9d1-4446-9210-ba144856e2f3"
"c56b42bd-cfc8-46cf-982f-fa6feac8df3e","1677-10_200","67cad29a-8ed2-4442-9fa3-f9814ff6e1ad"
"8d88973a-17e1-44e5-baf5-f951dc823919","1677-10_250","aefa05c1-cf22-4aa6-b563-cde1cd853940"
"ba104b69-48ba-4cd5-9a3e-b9d23376ad50","1677-10_250","f3698d9f-7109-4c65-a383-74e796069805"
"c56d5134-44e0-41fe-8440-76e56b023815","1677-10_257","64ee0505-1e32-44b7-adec-1ac3d3d59d31"
"ee84b678-8c73-40b8-bc93-4664d848aaf7","1677-10_257","b3f8da74-51c0-4ff1-a400-a0806a6d1004"
"2630e6c1-a0a0-41aa-8595-fa28591f5391","1677-10_307","78fd7bf5-37cc-4f16-a81a-c0f3446e0501"
"bbbf4f54-974e-4c1b-b93e-e8b1f28104d7","1677-10_307","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"17e3a585-89f5-4bec-955f-98e28b1351ab","1677-11_081","3bfc7796-8529-46b5-9dce-7bbd253f789d"
"3e5f24c0-d4d7-49e3-8c1d-01c30a9bbbfd","1677-11_081","4a6e59ae-76ed-432e-83d4-3adce8f3e32d"
"7086562b-0bbe-4256-8ebe-fe8fae70e19f","1677-11_081","d5856086-e966-4da3-9c68-b961f6e58dee"
"8bb33e5f-4f34-4430-99bf-3711a8855f5b","1677-11_081","d7a3bf64-6a1a-481b-b087-7ca43544438b"
"9e18a704-3b95-473e-bc8c-6b8d4e13829e","1677-11_184","61c386e6-5539-498a-8566-1e5bc273133b"
"c8d7fe1f-2451-4e2f-b8df-745a20335876","1677-12_208","bbddff47-1762-4430-ba96-6c9638da84b2"
"734cd687-0885-4662-a09b-5761a3c767a0","1677-12_264","e92de0f7-ea44-45cc-8005-cf66bd5500e6"
"2e28ee13-5f3f-4a3c-937c-8ff1193e9931","1677-12_314","ca350f27-f745-42db-9d46-d0da0fd6db14"
"b9119029-e870-4661-a61a-9ec5a896eb76","1677-12_314","b2029b37-25b9-4960-a10c-66ea4a73139d"
"11dd005d-bdf2-440d-874d-8bd82dac6f69","1678-01_035","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"166e8b7b-179d-4d43-b76c-421c30c0d3e0","1678-01_119","17909e71-e484-456e-a247-b2ccf976637a"
"4488ce87-c250-4b93-8679-5086e069b428","1678-01_119","5088ec72-ab26-445e-acb1-a0a3e3830fa6"
"636e1d64-9679-4343-9987-c88b73dbe8b0","1678-01_122","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"d9c1cbdd-8d3a-40b3-a364-82adcb6edd3e","1678-01_122","8f71b0de-8912-4b55-a9fe-9123694880be"
"7da4ca87-b51a-4c04-bf17-59abdf17e7eb","1678-01_125","50ecdcc0-ace9-4240-a2c2-7729acf695f9"
"9b06671f-3985-47b8-bc91-16180900daff","1678-01_226","d6c3a737-80e4-4c5f-91bd-c1a4d6beca66"
